ID,Timestamp,Gender,Semester,Student_Dept,Complaint_Description,Category,Responsible_Departments,Primary_Department,Aspects,Severity,Complaint_Group_ID
193,2026-02-09 18:23:07.254,Male,3.1,CSE,AC's don't work properly. Needs attention.,Infrastructure,Maintenance,Maintenance,Electrical/AC,Urgent,96
194,2026-02-09 18:36:30.907,Male,1.2,EEE,There is no proper wifi in campus. We should be provided with a working campus wifi. Kindly verify and take action.,Technical,IT,IT,WiFi | Electrical/AC,Urgent,42
195,2026-02-09 19:11:33.438,Male,3.2,EEE,The routine does not allocate time for prayers and lunch. This is affecting regular activities.,Academic,Department Head | Examination,Department Head,Electrical/AC | Prayer Room | Scheduling,Medium,97
196,2026-02-09 19:11:33.438,Male,3.2,CSE,The lab classes lack regular maintenance which hampers the studies. Would appreciate a resolution soon.,Technical,IT | Department Head,IT,Lab Equipment | Electrical/AC,High,98
200,2026-02-09 20:31:33.240,Male,1.2,CSE,"Some labs do not have sufficient equipment, and in many cases, the equipment does not work properly. Please look into it.",Technical,Department Head | IT,Department Head,Lab Equipment,Urgent,48
201,2026-02-09 20:31:33.240,Male,1.2,CSE,"Besides, the Wi-Fi does not function well across the entire campus. This is affecting regular activities.",Technical,IT,IT,WiFi | Electrical/AC,Urgent,101
202,2026-02-09 20:31:33.240,Male,1.2,CSE,Faculties whose voices cannot be heard loudly or find it difficult to speak loudly in large classrooms should use personal headset microphones for their ease as well as ours. Please look into it.,Technical,Department Head | IT,Department Head,Electrical/AC | Classroom,Medium,50
205,2026-02-09 20:37:47.000,Male,4.1,CSE,"The transparent glass of washroom windows should be replaced with non-transparent glass, especially in lower floors, as it is a matter of privacy. This is affecting regular activities.",Infrastructure,Maintenance | Proctorial,Maintenance,Washroom | Electrical/AC | Classroom,Urgent,53
208,2026-02-09 21:03:57.354,Female,2.2,CSE,The size for the teacup in the cafeteria should be larger. Please look into it.,Administrative,Canteen | Student Welfare,Canteen,Electrical/AC | Canteen,Low,56
210,2026-02-09 21:03:57.354,Female,2.2,CSE,"The ShaPa day should be organized every semester within 2-3 weeks after midterm exams. ShaPa being at the last week of the semester amidst lab finals and quizzes is not student friendly. Furthermore, if ShaPa is organized within 8th-10th week this semester, then it can be during the spring season i.e. before the unpredictable heat and rain of the summer season starts. The date of the day should also be fixed right after midterm exams so that students can organize their quizzes around that date. Please look into it.",Academic,Student Welfare | Examination,Student Welfare,Lab Equipment | Examination,Medium,58
211,2026-02-09 21:03:57.354,Female,2.2,CSE,"at the CSE 1206 course, classes are frequently ended significantly earlier than the allocated time. This is affecting regular activities.",Academic,Department Head,Department Head,Electrical/AC,High,59
212,2026-02-09 21:03:57.354,Female,2.2,CSE,"The round tube lights at the university, especially those at the washrooms and on the Architecture stairs, should be repaired or replaced with new ones. Please look into it.",Infrastructure,Maintenance,Maintenance,Washroom | Electrical/AC | Classroom,Urgent,60
213,2026-02-09 21:03:57.354,Female,2.2,CSE,The exhaust fans in the washrooms and other areas should be repaired or replaced with new ones. This is affecting regular activities.,Infrastructure,Maintenance,Maintenance,Washroom | Electrical/AC | Classroom,Urgent,61
214,2026-02-09 21:03:57.354,Female,2.2,CSE,"Due to server problems in the IUMS system, I was unable to check my result on the publication day and had to wait until the next day. Kindly verify and take action.",Technical,IT,IT,Electrical/AC | Examination,Urgent,62
215,2026-02-09 21:47:59.674,Female,2.1,CSE,The group members for group projects should be selected by the teachers. The students with no groups have to suffer. Requesting a quick check.,Academic,Department Head,Department Head,Electrical/AC | Faculty,Medium,63
216,2026-02-11 16:30:03.822,Female,4.1,EEE,Some boys think they can talk in whatever way they want with the girls . Needs attention.,Administrative,Proctorial | Counseling,Proctorial,General,Urgent,64
218,2026-02-11 18:54:59.393,Female,4.1,CSE,"I am dissatisfied because students are required to pay substantial fees by the organizer, even if they do not take part at the event. Would appreciate a resolution soon.",Finance,Student Welfare | Finance,Student Welfare,Fee/Payment,High,66
219,2026-02-11 19:01:06.264,Female,4.1,CSE,Forming groups ourselves frequently leads to conflicts. It would be better if the teacher assigned the groups first to avoid any problems. Please look into it.,Academic,Department Head,Department Head,Electrical/AC | Faculty,Medium,67
220,2026-02-11 19:03:13.329,Female,4.1,CSE,"It is difficult to evaluate students fairly when quizzes have uneven difficulty levels, with some sets being hard and others easy. This is affecting regular activities.",Academic,Department Head | Examination,Department Head,Electrical/AC | Examination,High,68
221,2026-02-11 19:09:49.959,Female,4.1,CSE,"It feels unfair that students with access to alternative sections or materials can perform better in quizzes, while others without these resources struggle. Kindly verify and take action.",Academic,Department Head,Department Head,Electrical/AC | Fee/Payment | Examination,High,69
224,2026-02-09 12:19:25.612,Male,1.2,CSE,out of focus Projectors. This is affecting regular activities.,Infrastructure,IT | Maintenance,IT,Projector | Electrical/AC,High,86
225,2026-02-09 12:28:16.321,Female,4.1,CSE,require bookshelf in female prayer room. Kindly verify and take action.,Infrastructure,Maintenance | Student Welfare,Maintenance,Electrical/AC | Classroom | Library | Prayer Room,Low,105
226,2026-02-09 12:28:16.321,Female,4.1,CSE,require a seperate female prayer room which is not just a sub portion of female common room. Needs attention.,Infrastructure,Student Welfare | Administration | Maintenance,Student Welfare,Classroom | Prayer Room,Medium,3
227,2026-02-09 12:29:14.893,Male,4.1,CSE,drinking water system on the 6th floor(CSE dpt) is no longer working. Please look into it.,Infrastructure,Maintenance,Maintenance,Water Supply,Urgent,4
228,2026-02-09 12:29:14.893,Male,4.1,CSE,Some projectors are not clear. This is affecting regular activities.,Infrastructure,IT | Maintenance,IT,Projector | Electrical/AC,High,86
230,2026-02-09 12:34:20.678,Male,2.1,CSE,Campus WiFi does not work in all areas and is also very slow. This is affecting regular activities.,Technical,IT,IT,WiFi | Electrical/AC,Urgent,106
231,2026-02-09 12:36:56.431,Female,4.1,CSE,"Due to continuous loud talking by some students at the library, it has become very difficult to study and maintain concentration. Kindly verify and take action.",Administrative,Library | Proctorial,Library,Electrical/AC | Library | Safety/Discipline,Medium,8
232,2026-02-09 12:34:20.678,Male,2.1,CSE,We can never find our adviser. Please look into it.,Academic,Department Head,Department Head,Faculty,High,107
233,2026-02-09 12:54:14.743,Male,4.1,CSE,No hand wash in most of the washrooms. Please look into it.,Infrastructure,Maintenance,Maintenance,Washroom | Classroom,Urgent,108
234,2026-02-09 12:42:12.499,Female,4.1,CSE,"Because of the long line for the lift, it becomes difficult to attend classes on time.",Infrastructure,Maintenance | Administration,Maintenance,Elevator,Medium,11
235,2026-02-09 12:42:29.396,Female,2.1,CSE,I have complain regarding the routing system of the bus.... Students go through a lot of problems to track location of the bus during arrival and departure . We know we have a msngr group where sometimes update is given but sometimes there is no update so it's a hassle... I would be better if and app system is give to know about the location of the bus upon arrival and departure. As during departure the bus doesn't always remain in same place as a result students get confused. This is affecting regular activities.,Technical,Transport & Parking | IT,Transport & Parking,Electrical/AC | Examination | Transport,Medium,12
237,2026-02-09 12:54:14.743,Male,4.1,CSE,zero Wifi facilities in peak hour. Requesting a quick check.,Technical,IT,IT,WiFi | Electrical/AC | Research,Urgent,109
238,2026-02-09 12:54:14.743,Male,4.1,CSE,Inadequate Charging ports in library /reading room. Needs attention.,Infrastructure,Library | IT,Library,Classroom | Library,Medium,15
241,2026-02-09 13:12:11.395,Male,4.2,CSE,The classroom projectors doesnt work well. Requesting a quick check.,Technical,IT,IT,Projector | Classroom,Urgent,110
242,2026-02-09 13:12:11.395,Male,4.2,CSE,CSE Dept doesnt have qualified teachers. Would appreciate a resolution soon.,Academic,Department Head | Administration,Department Head,Electrical/AC | Faculty,High,111
243,2026-02-09 13:12:11.395,Male,4.2,CSE,We require more research facilities in our university and also we require more experienced professors. Needs attention.,Academic,Department Head | Administration,Department Head,Electrical/AC | Faculty | Research,High,20
246,2026-02-09 13:12:11.395,Male,4.2,CSE,We are in need of more research facilities in our university and also we are in need of more experienced professors. Needs attention.,Academic,Department Head | Administration,Department Head,Electrical/AC | Faculty | Research,High,20
247,2026-02-09 13:20:41.427,Female,2.1,CSE,Campus Wi-Fi speed and coverage are insufficient; the signal does not reach inside classrooms. This is affecting regular activities.,Technical,IT,IT,WiFi | Electrical/AC | Classroom,Urgent,21
249,2026-02-09 13:20:41.427,Female,2.1,CSE,"Projectors have subpar resolution and do not display colors properly, which causes issues in several lectures. Requesting a quick check.",Technical,IT,IT,Projector,High,23
250,2026-02-09 13:20:41.427,Female,2.1,CSE,"Classroom lights and ACs are not properly maintained; some are faulty, and there appears to be little concern regarding timely repairs. Needs attention.",Infrastructure,Maintenance,Maintenance,Electrical/AC | Classroom,Urgent,24
251,2026-02-09 13:20:41.427,Female,2.1,CSE,"HDMI cables in theory classrooms are mostly faulty, causing inconvenience for faculty members and resulting in loss of lecture time. Kindly verify and take action.",Technical,IT,IT,Electrical/AC | Classroom | Examination | Faculty,High,25
252,2026-02-09 13:20:41.427,Female,2.1,CSE,Library and study room spaces are insufficient and remain overcrowded during peak hours. Requesting a quick check.,Administrative,Library | Administration,Library,Electrical/AC | Classroom | Library,Medium,26
255,2026-02-09 13:34:16.838,Female,1.2,CSE,More female washrooms would be really appreciated. Kindly verify and take action.,Infrastructure,Maintenance | Administration,Maintenance,Washroom | Electrical/AC | Classroom,Medium,113
258,2026-02-09 13:40:27.317,Male,4.1,CSE,"When student occupancy in the library increases, the Wi-Fi connection becomes very slow and frequently disconnects. This severely disrupts academic activities, research work,and online learning, making the library ineffective as a study environment during peak hours. Kindly verify and take action.",Infrastructure,IT | Library,IT,WiFi | Electrical/AC | Library | Research,Urgent,32
259,2026-02-09 13:40:27.317,Male,4.1,CSE,A studentship certificate costs a student 500taka which should be of free from the versity as a current student of the institute. Needs attention.,Finance,Registrar | Finance,Registrar,General,Medium,33
260,2026-02-09 14:16:37.763,Female,2.2,CSE,Every floor should have separate male and female washrooms. Requesting a quick check.,Infrastructure,Maintenance,Maintenance,Washroom | Classroom,High,34
261,2026-02-09 14:40:47.082,Male,4.1,CSE,Each floor should have one wheelchair in service. Please look into it.,Administrative,Student Welfare | Administration,Student Welfare,Electrical/AC,High,114
262,2026-02-09 14:40:47.082,Male,4.1,CSE,"Just like there is a space for prayer in front of the Mechanical Department, a similar space should be provided in front of almost every department for prayers. Kindly verify and take action.",Administrative,Student Welfare | Administration,Student Welfare,Electrical/AC | Prayer Room,Medium,36
263,2026-02-09 14:40:47.082,Male,4.1,CSE,It would be good if there is a bKash or Nagad merchant in service inside the university. Kindly verify and take action.,Finance,Finance | Administration,Finance,Electrical/AC | Fee/Payment,Low,115
265,2026-02-09 18:14:46.217,Female,2.1,CSE,"Pressure is applied to participate in co-curricular activities by seniors, even if students are unwilling or facing problems. Kindly verify and take action.",Administrative,Proctorial | Student Welfare,Proctorial,Electrical/AC,High,39
266,2026-02-09 18:19:19.408,Male,1.2,CSE,The 7th floor (6 of lift) does not have Wi-Fi routers. Thus the Wi-Fi connection disappears when a student enters a classroom in the 7th floor. This is extremely inconvenient as it can cause a student to miss their attendance in their class for the lack of internet connectivity despite being present in the class. Please look into it.,Technical,IT,IT,WiFi | Elevator | Electrical/AC | Classroom | Transport,Urgent,40
268,2026-02-09 18:36:30.907,Male,1.2,EEE,There is no proper wifi in campus. We should be provided with a working campus wifi. Requesting a quick check.,Technical,IT,IT,WiFi,Urgent,42
269,2026-02-09 19:11:33.438,Male,3.2,EEE,The routine does not allocate time for prayers and lunch. Needs attention.,Academic,Department Head | Examination,Department Head,Prayer Room | Scheduling,Medium,43
274,2026-02-09 20:31:33.240,Male,1.2,CSE,"Some labs do not have sufficient equipment, and in many cases, the equipment does not work properly. Needs attention.",Technical,Department Head | IT,Department Head,Lab Equipment,Urgent,48
275,2026-02-09 20:31:33.240,Male,1.2,CSE,"Besides, the Wi-Fi does not function well across the entire campus. Please look into it.",Technical,IT,IT,WiFi | Electrical/AC,Urgent,49
276,2026-02-09 20:31:33.240,Male,1.2,CSE,Faculties whose voices cannot be heard loudly or find it difficult to speak loudly in large classrooms should use personal headset microphones for their ease as well as ours. This is affecting regular activities.,Technical,Department Head | IT,Department Head,Electrical/AC | Classroom,Medium,50
279,2026-02-09 20:37:47.000,Male,4.1,CSE,"The transparent glass of washroom windows should be replaced with non-transparent glass, especially in lower floors, as it is a matter of privacy. Would appreciate a resolution soon.",Infrastructure,Maintenance | Proctorial,Maintenance,Washroom | Electrical/AC | Classroom,Urgent,53
284,2026-02-09 21:03:57.354,Female,2.2,CSE,"The ShaPa day should be organized every semester within 2-3 weeks after midterm exams. ShaPa being in the last week of the semester amidst lab finals and quizzes is not student friendly. Furthermore, if ShaPa is organized within 8th-10th week this semester, then it can be during the spring season i.e. before the unpredictable heat and rain of the summer season starts. The date of the day should also be fixed right after midterm exams so that students can organize their quizzes around that date. Please look into it.",Academic,Student Welfare | Examination,Student Welfare,Lab Equipment | Examination,Medium,58
285,2026-02-09 21:03:57.354,Female,2.2,CSE,"In the CSE 1206 course, classes are frequently ended significantly earlier than the allocated time. Please look into it.",Academic,Department Head,Department Head,General,High,59
286,2026-02-09 21:03:57.354,Female,2.2,CSE,"The round tube lights at the university, especially those at the washrooms and on the Architecture stairs, should be repaired or replaced with new ones. Needs attention.",Infrastructure,Maintenance,Maintenance,Washroom | Electrical/AC | Classroom,Urgent,60
287,2026-02-09 21:03:57.354,Female,2.2,CSE,The exhaust fans at the washrooms and other areas should be repaired or replaced with new ones. Please look into it.,Infrastructure,Maintenance,Maintenance,Washroom | Electrical/AC | Classroom,Urgent,61
288,2026-02-09 21:03:57.354,Female,2.2,CSE,"Due to server problems in the IUMS system, I was unable to check my result on the publication day and had to wait until the next day.",Technical,IT,IT,Examination,Urgent,62
289,2026-02-09 21:47:59.674,Female,2.1,CSE,The group members for group projects should be selected by the teachers. The students with no groups have to suffer.,Academic,Department Head,Department Head,Electrical/AC | Faculty,Medium,63
290,2026-02-11 16:30:03.822,Female,4.1,EEE,Some boys think they can talk in whatever way they want with the girls . Please look into it.,Administrative,Proctorial | Counseling,Proctorial,General,Urgent,64
292,2026-02-11 18:54:59.393,Female,4.1,CSE,"I am dissatisfied because students are required to pay substantial fees by the organizer, even if they do not take part in the event. Needs attention.",Finance,Student Welfare | Finance,Student Welfare,Fee/Payment,High,66
293,2026-02-11 19:01:06.264,Female,4.1,CSE,Forming groups ourselves regularly leads to conflicts. It would be better if the teacher assigned the groups first to avoid any problems.,Academic,Department Head,Department Head,Electrical/AC | Faculty,Medium,67
294,2026-02-11 19:03:13.329,Female,4.1,CSE,"It is difficult to evaluate students fairly when quizzes have uneven difficulty levels, with some sets being hard and others easy. Would appreciate a resolution soon.",Academic,Department Head | Examination,Department Head,Examination,High,68
295,2026-02-11 19:09:49.959,Female,4.1,CSE,"It feels unfair that students with access to alternative sections or materials can perform better in quizzes, while others without these resources struggle. This is affecting regular activities.",Academic,Department Head,Department Head,Electrical/AC | Fee/Payment | Examination,High,69
298,2026-03-05 18:00:07.140,Male,3.2,BBA,Lights in the hallway of the academic building are not working.,Infrastructure,Maintenance,Maintenance,Electrical/AC,High,121
299,2026-03-05 18:00:07.140,Male,3.2,LAW,Backup generator failed during a recent power cut.,Infrastructure,Maintenance,Maintenance,Electrical/AC,Medium,122
300,2026-03-05 18:00:07.140,Male,4.1,ENG,Several classroom ceiling fans are not functioning.,Infrastructure,Maintenance,Maintenance,Electrical/AC | Classroom,Medium,123
301,2026-03-05 18:00:07.140,Male,3.2,IPE,Voltage fluctuation is affecting computer lab equipment.,Infrastructure,Maintenance,Maintenance,Lab Equipment,Urgent,124
302,2026-03-05 18:00:07.140,Female,4.1,BBA,Electrical sockets in the library are damaged.,Infrastructure,Maintenance,Maintenance,Library,Urgent,125
304,2026-03-05 18:00:07.140,Female,2.2,CSE,Projector power outlets are loose in multiple rooms.,Infrastructure,Maintenance,Maintenance,Projector | Electrical/AC | Classroom,Low,127
305,2026-03-05 18:00:07.140,Male,2.2,LAW,Outdoor campus lights remain off at night.,Infrastructure,Maintenance,Maintenance,General,High,128
306,2026-03-05 18:00:07.140,Female,3.1,BBA,Electrical wiring near the lab entrance is exposed.,Infrastructure,Maintenance,Maintenance,Lab Equipment,High,129
308,2026-03-05 18:00:07.140,Female,4.2,LAW,Frequent power interruptions during lab sessions.,Infrastructure,Maintenance,Maintenance,Lab Equipment | Electrical/AC,High,131
309,2026-03-05 18:00:07.140,Female,4.1,BBA,Some classrooms remain very hot due to non‑working fans.,Infrastructure,Maintenance,Maintenance,Electrical/AC | Classroom,Urgent,132
310,2026-03-05 18:00:07.140,Male,4.1,CSE,Switchboards in lecture halls are broken.,Infrastructure,Maintenance,Maintenance,General,Medium,133
311,2026-03-05 18:00:07.140,Female,3.2,CSE,Electric sparks noticed near an old switchboard.,Infrastructure,Maintenance,Maintenance,General,Medium,134
312,2026-03-05 18:00:07.140,Female,2.2,LAW,Power supply in the seminar room is unstable.,Infrastructure,Maintenance,Maintenance,Electrical/AC | Classroom,Urgent,135
313,2026-03-05 18:00:07.140,Male,2.1,BBA,Generator does not cover all floors during outages.,Infrastructure,Maintenance,Maintenance,General,Medium,136
314,2026-03-05 18:00:07.140,Male,2.2,ENG,Several bulbs in corridors have not been replaced.,Infrastructure,Maintenance,Maintenance,Electrical/AC,High,137
315,2026-03-05 18:00:07.140,Male,4.2,CSE,Computer lab loses electricity during peak hours.,Infrastructure,Maintenance,Maintenance,Lab Equipment | Electrical/AC,Urgent,138
316,2026-03-05 18:00:07.140,Male,2.2,CSE,Air conditioning in the auditorium stops suddenly.,Infrastructure,Maintenance,Maintenance,Electrical/AC,Urgent,139
317,2026-03-05 18:00:07.140,Male,4.1,LAW,Charging ports for students are not working.,Infrastructure,Maintenance,Maintenance,General,Medium,140
318,2026-03-05 18:00:07.140,Male,2.2,ENG,Electrical maintenance requests take too long to resolve.,Infrastructure,Maintenance,Maintenance,General,Low,141
319,2026-03-05 18:00:07.140,Male,2.2,ENG,Lights in the parking basement flicker frequently.,Infrastructure,Maintenance,Maintenance,Parking,Urgent,142
320,2026-03-05 18:00:07.140,Male,2.1,CSE,Extension cables in labs are damaged.,Infrastructure,Maintenance,Maintenance,Lab Equipment,Low,143
321,2026-03-05 18:00:07.140,Female,2.2,IPE,Some switches in classrooms produce burning smell,Infrastructure,Maintenance,Maintenance,Classroom,High,144
322,2026-03-05 18:00:07.140,Female,2.2,ENG,Online fee payment portal often fails during transactions.,Finance,Finance,Finance,Electrical/AC | Fee/Payment,Medium,145
323,2026-03-05 18:00:07.140,Male,2.2,BBA,Fee payment confirmation takes several days to appear.,Finance,Finance,Finance,Fee/Payment,Low,146
324,2026-03-05 18:00:07.140,Female,3.1,CSE,Students must stand in very long queues for payment.,Finance,Finance,Finance,Fee/Payment,Medium,147
325,2026-03-05 18:00:07.140,Male,4.1,CSE,Incorrect late fee added to student accounts.,Finance,Finance,Finance,Electrical/AC | Fee/Payment,Urgent,148
326,2026-03-05 18:00:07.140,Male,4.2,IPE,Refund process after course withdrawal is too slow.,Finance,Finance,Finance,General,Urgent,149
327,2026-03-05 18:00:07.140,Female,4.2,EEE,Fee receipt not issued immediately after payment.,Finance,Finance,Finance,Fee/Payment,Urgent,150
328,2026-03-05 18:00:07.140,Male,2.2,CSE,Scholarship adjustments are not reflected in fee statements.,Finance,Finance,Finance,Fee/Payment,Urgent,151
330,2026-03-05 18:00:07.140,Female,2.1,EEE,Semester fee breakdown is not clearly explained.,Finance,Finance,Finance,Fee/Payment,High,153
332,2026-03-05 18:00:07.140,Female,4.2,LAW,Online portal shows payment error despite deduction.,Finance,Finance,Finance,Fee/Payment,Low,155
333,2026-03-05 18:00:07.140,Female,2.1,EEE,Fee clearance process takes too long before registration.,Finance,Finance,Finance,Fee/Payment | Registration,Medium,156
337,2026-03-05 18:00:07.141,Male,4.1,CSE,Students cannot download digital payment receipts.,Finance,Finance,Finance,Fee/Payment,Urgent,160
338,2026-03-05 18:00:07.141,Male,3.2,ENG,Late fee applied even when payment was submitted earlier.,Finance,Finance,Finance,Fee/Payment,High,161
339,2026-03-05 18:00:07.141,Female,2.2,CSE,Fee portal crashes near payment deadlines.,Finance,Finance,Finance,Fee/Payment,Medium,162
340,2026-03-05 18:00:07.141,Female,3.2,BBA,Payment verification requires multiple office visits.,Finance,Finance,Finance,Fee/Payment,High,163
342,2026-03-05 18:00:07.141,Female,3.1,LAW,Fee refund policy is unclear for many students.,Finance,Finance,Finance,Fee/Payment,High,165
343,2026-03-05 18:00:07.141,Male,2.2,ENG,Payment portal does not support several mobile banking apps.,Finance,Finance,Finance,Fee/Payment,Medium,166
344,2026-03-05 18:00:07.141,Female,2.1,EEE,Installment payment requests are often ignored.,Finance,Finance,Finance,Fee/Payment,Urgent,167
349,2026-03-05 18:00:07.141,Female,2.1,CSE,No clear parking markings for vehicles.,Infrastructure,Transport & Parking,Transport & Parking,Parking,Urgent,172
351,2026-03-05 18:00:07.141,Male,4.1,BBA,Security monitoring in parking areas is weak.,Infrastructure,Transport & Parking,Transport & Parking,Parking,Low,174
353,2026-03-05 18:00:07.141,Female,2.2,BBA,No shade in motorcycle parking areas.,Infrastructure,Transport & Parking,Transport & Parking,Parking,Medium,176
354,2026-03-05 18:00:07.141,Female,3.2,CSE,Parking area lighting is very poor at night.,Infrastructure,Transport & Parking,Transport & Parking,Parking,Low,177
355,2026-03-05 18:00:07.141,Female,2.1,EEE,Unauthorized vehicles occupy student parking spots.,Infrastructure,Transport & Parking,Transport & Parking,Parking,Low,178
356,2026-03-05 18:00:07.141,Male,2.2,IPE,Parking space for bicycles is too small.,Infrastructure,Transport & Parking,Transport & Parking,Electrical/AC | Parking,Urgent,179
358,2026-03-05 18:00:07.141,Male,3.1,EEE,Parking attendants are not always present.,Infrastructure,Transport & Parking,Transport & Parking,Parking,Low,181
359,2026-03-05 18:00:07.141,Female,3.1,IPE,No clear signboards for visitor parking.,Infrastructure,Transport & Parking,Transport & Parking,Parking,Medium,182
360,2026-03-05 18:00:07.141,Female,2.1,ENG,Vehicles sometimes block emergency exits.,Infrastructure,Transport & Parking,Transport & Parking,Parking,High,183
361,2026-03-05 18:00:07.141,Female,3.2,LAW,Parking fee collection process is confusing.,Infrastructure,Transport & Parking,Transport & Parking,Fee/Payment | Parking,Urgent,184
363,2026-03-05 18:00:07.141,Male,2.2,IPE,Motorcycle parking area is overcrowded.,Infrastructure,Transport & Parking,Transport & Parking,Parking,Low,186
364,2026-03-05 18:00:07.141,Male,3.2,IPE,Parking area surveillance cameras are not functioning.,Infrastructure,Transport & Parking,Transport & Parking,Parking,Medium,187
366,2026-03-05 18:00:07.141,Female,3.2,IPE,Parking layout causes difficulty exiting during rush hours.,Infrastructure,Transport & Parking,Transport & Parking,Parking,Medium,189
367,2026-03-05 18:00:07.141,Female,2.1,EEE,Students report minor scratches due to crowded parking.,Infrastructure,Transport & Parking,Transport & Parking,Parking,Low,190
368,2026-03-05 18:00:07.141,Female,3.2,EEE,Parking entrance becomes jammed during morning classes.,Infrastructure,Transport & Parking,Transport & Parking,Parking,Urgent,191
369,2026-03-05 18:00:07.141,Female,3.1,EEE,No digital system to track available parking spaces.,Infrastructure,Transport & Parking,Transport & Parking,Lab Equipment | Electrical/AC | Parking,Low,192
370,2026-03-05 18:00:07.141,Male,4.2,BBA,Parking area drainage system is poor.,Infrastructure,Transport & Parking,Transport & Parking,Parking,Medium,193
373,2026-03-05 18:00:07.141,Male,3.1,BBA,Washrooms on the third floor lack proper cleaning.,Infrastructure,Maintenance,Maintenance,Washroom | Electrical/AC | Classroom,Urgent,196
374,2026-03-05 18:00:07.141,Male,3.2,LAW,Water leakage from ceiling in classroom corridor.,Infrastructure,Maintenance,Maintenance,Water Supply | Classroom,Medium,197
376,2026-03-05 18:00:07.141,Female,2.2,CSE,Elevator waiting time is extremely long.,Infrastructure,Maintenance,Maintenance,Elevator,Urgent,199
378,2026-03-05 18:00:07.141,Male,2.2,IPE,Classroom windows cannot be opened.,Infrastructure,Maintenance,Maintenance,Classroom,Medium,201
379,2026-03-05 18:00:07.141,Female,3.2,BBA,Hand dryers in washrooms are not functioning.,Infrastructure,Maintenance,Maintenance,Washroom | Classroom,Medium,202
381,2026-03-05 18:00:07.141,Female,3.1,CSE,Broken tiles near the staircases are dangerous.,Infrastructure,Maintenance,Maintenance,General,Medium,204
384,2026-03-05 18:00:07.141,Female,3.1,ENG,Water accumulates near washroom entrances.,Infrastructure,Maintenance,Maintenance,Washroom | Water Supply | Electrical/AC | Classroom,Medium,207
385,2026-03-05 18:00:07.141,Male,2.4,LAW,Toilet paper dispensers are empty frequently.,Infrastructure,Maintenance,Maintenance,Washroom,Urgent,208
387,2026-03-05 18:00:07.141,Male,2.1,IPE,Elevator capacity is insufficient during class change time.,Infrastructure,Maintenance,Maintenance,Elevator | Electrical/AC,Medium,210
391,2026-03-05 18:00:07.141,Female,2.2,ENG,Some stair railings are loose.,Infrastructure,Maintenance,Maintenance,General,High,213
392,2026-03-05 18:00:07.141,Female,4.1,ENG,Washroom drainage is slow causing water pooling.,Infrastructure,Maintenance,Maintenance,Washroom | Water Supply | Classroom,High,214
393,2026-03-05 18:00:07.000,Male,3.2,EEE,Elevator maintenance seems irregular.,Infrastructure,Maintenance,Maintenance,Elevator,High,215
394,2026-03-05 18:00:07.141,Male,2.1,LAW,Classroom floors remain dirty after cleaning.,Infrastructure,Maintenance,Maintenance,Classroom,Medium,216
396,2026-03-05 18:00:07.141,Male,2.2,BBA,Water taps in washrooms are leaking,Infrastructure,Maintenance,Maintenance,Washroom | Water Supply | Classroom,Medium,218
